timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.0005,-0.22,0.0,0.0,0.06,0.0,0.0,0.1,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.001,-0.24,0.0,0.0,0.04,0.0,0.0,0.0,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0015,-0.24,0.0,0.0,0.05,0.0,0.0,0.1,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.002,-0.25,0.0,0.0,0.05,0.0,0.0,0.1,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0025,-0.26,0.0,0.0,0.05,0.0,0.0,0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.003,-0.26,0.0,0.0,0.05,0.0,0.0,0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0035,-0.26,0.0,0.0,0.05,0.0,0.0,0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.004,-0.27,0.0,0.0,0.04,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0045,-0.27,0.0,0.0,0.03,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.005,-0.27,0.0,0.0,0.02,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0055,-0.27,0.0,0.0,0.01,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.006,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0065,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.007,-0.29,0.0,0.0,0.02,0.0,0.0,0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0075,-0.61,0.0,0.0,0.04,0.0,0.0,0.0,-0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.008,-1.13,0.0,0.0,0.34,0.0,0.0,0.3,-1.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0085,-1.85,0.0,0.0,0.58,0.0,0.0,0.6,-1.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.009,-2.52,0.0,0.0,-0.28,0.0,0.0,-0.3,-2.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0095,-3.12,0.0,0.0,-0.95,0.0,0.0,-0.9,-3.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.01,-5.33,0.0,0.0,-0.21,0.0,0.0,-0.2,-5.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0105,-9.96,0.0,0.0,0.3,0.0,0.0,0.3,-10.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.011,-14.28,0.0,0.0,-0.4,0.0,0.0,-0.4,-14.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0115,-17.73,0.0,0.0,-2.03,0.0,0.0,-2.0,-17.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.012,-21.93,0.0,0.0,-5.36,0.0,0.0,-5.4,-21.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0125,-21.64,0.0,0.0,-8.15,0.0,0.0,-8.2,-21.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.013,-17.72,0.0,0.0,-9.46,0.0,0.0,-9.5,-17.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0135,-9.31,0.0,0.0,-8.76,0.0,0.0,-8.8,-9.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.014,2.03,0.0,0.0,-6.35,0.0,0.0,-6.3,2.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0145,10.08,0.0,0.0,-4.29,0.0,0.0,-4.3,10.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.015,14.9,0.0,0.0,-2.5,0.0,0.0,-2.5,14.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0155,18.53,0.0,0.0,-0.4,0.0,0.0,-0.4,18.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.016,18.33,0.0,0.0,1.26,0.0,0.0,1.3,18.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0165,15.49,0.0,0.0,2.68,0.0,0.0,2.7,15.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.017,8.99,1.09,0.0,3.47,0.0,0.0,3.5,9.0,0.0 (cmd 1.1),0.0 (cmd 0.0)
0.0175,-2.72,1.54,0.0,4.15,0.0,0.0,4.2,-2.7,0.0 (cmd 1.5),0.0 (cmd 0.0)
0.018,-14.74,0.96,0.0,3.71,0.0,0.0,3.7,-14.7,0.0 (cmd 1.0),0.0 (cmd 0.0)
0.0185,-23.53,0.48,0.0,0.67,0.0,0.0,0.7,-23.5,0.0 (cmd 0.5),0.0 (cmd 0.0)
0.019,-29.44,0.92,0.0,-7.26,-0.47,0.0,-7.3,-29.4,0.0 (cmd 0.9),0.0 (cmd -0.5)
0.0195,-25.6,1.31,0.0,-10.38,-1.51,0.0,-10.4,-25.6,0.0 (cmd 1.3),0.0 (cmd -1.5)
0.02,-18.07,0.58,0.0,-9.33,-0.96,0.0,-9.3,-18.1,0.0 (cmd 0.6),0.0 (cmd -1.0)
0.0205,-5.34,0.25,0.0,-6.41,-0.42,0.0,-6.4,-5.3,0.0 (cmd 0.2),0.0 (cmd -0.4)
0.021,6.97,0.11,0.0,-0.63,-0.18,0.0,-0.6,7.0,0.0 (cmd 0.1),0.0 (cmd -0.2)
0.0215,18.26,0.05,0.0,3.46,-0.08,0.0,3.5,18.3,0.0 (cmd 0.1),0.0 (cmd -0.1)
0.022,20.01,0.06,0.0,5.75,-0.03,0.0,5.8,20.0,0.0 (cmd 0.1),0.0 (cmd -0.0)
0.0225,13.78,0.02,0.0,6.97,-0.01,0.0,7.0,13.8,0.0 (cmd 0.0),0.0 (cmd -0.0)
0.023,3.53,1.36,0.0,7.17,0.0,0.0,7.2,3.5,0.0 (cmd 1.4),0.0 (cmd 0.0)
0.0235,-6.34,2.57,0.0,7.97,0.0,0.0,8.0,-6.3,0.0 (cmd 2.6),0.0 (cmd 0.0)
0.024,-16.26,2.56,0.0,6.2,0.0,0.0,6.2,-16.3,0.0 (cmd 2.6),0.0 (cmd 0.0)
0.0245,-20.06,1.81,0.0,3.32,0.0,0.0,3.3,-20.1,0.0 (cmd 1.8),0.0 (cmd 0.0)
0.025,-15.21,0.69,0.0,1.9,0.0,0.0,1.9,-15.2,0.0 (cmd 0.7),0.0 (cmd 0.0)
0.0255,-7.1,0.28,0.0,1.98,0.0,0.0,2.0,-7.1,0.0 (cmd 0.3),0.0 (cmd 0.0)
0.026,8.09,-0.15,0.0,2.94,0.19,0.0,2.9,8.1,0.0 (cmd -0.1),0.0 (cmd 0.2)
0.0265,19.33,-0.43,0.0,4.06,0.6,0.0,4.1,19.3,0.0 (cmd -0.4),0.0 (cmd 0.6)
0.027,25.18,-0.19,0.0,5.78,0.38,0.0,5.8,25.2,0.0 (cmd -0.2),0.0 (cmd 0.4)
0.0275,25.36,-0.08,0.0,6.22,0.17,0.0,6.2,25.4,0.0 (cmd -0.1),0.0 (cmd 0.2)
0.028,18.32,-0.03,0.0,5.8,0.07,0.0,5.8,18.3,0.0 (cmd -0.0),0.0 (cmd 0.1)
0.0285,8.75,1.03,0.0,6.05,0.03,0.0,6.0,8.8,0.0 (cmd 1.0),0.0 (cmd 0.0)
0.029,0.12,2.45,0.0,6.4,0.01,0.0,6.4,0.1,0.0 (cmd 2.5),0.0 (cmd 0.0)
0.0295,-9.98,3.07,0.0,5.29,0.0,0.0,5.3,-10.0,0.0 (cmd 3.1),0.0 (cmd 0.0)
0.03,-15.12,2.32,0.0,1.71,0.0,0.0,1.7,-15.1,0.0 (cmd 2.3),0.0 (cmd 0.0)
0.0305,-16.46,0.24,0.0,-0.37,0.0,0.0,-0.4,-16.5,0.0 (cmd 0.2),0.0 (cmd 0.0)
0.031,-14.42,-0.63,0.0,-0.83,0.0,0.0,-0.8,-14.4,0.0 (cmd -0.6),0.0 (cmd 0.0)
0.0315,-8.0,-0.72,0.0,0.1,0.0,0.0,0.1,-8.0,0.0 (cmd -0.7),0.0 (cmd 0.0)
0.032,0.4,-0.31,0.0,2.46,0.0,0.0,2.5,0.4,0.0 (cmd -0.3),0.0 (cmd 0.0)
0.0325,6.33,-0.14,0.0,4.64,0.0,0.0,4.6,6.3,0.0 (cmd -0.1),0.0 (cmd 0.0)
0.033,19.53,-0.06,0.0,7.15,0.0,0.0,7.2,19.5,0.0 (cmd -0.1),0.0 (cmd 0.0)
0.0335,26.17,-0.01,0.0,7.24,0.0,0.0,7.2,26.2,0.0 (cmd -0.0),0.0 (cmd 0.0)
0.034,29.0,0.0,0.0,6.86,0.0,0.0,6.9,29.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0345,29.52,0.0,0.0,6.47,0.0,0.0,6.5,29.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.035,26.3,0.0,0.0,5.91,0.0,0.0,5.9,26.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0355,19.95,0.0,0.0,5.78,0.0,0.0,5.8,19.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.036,12.58,0.15,0.0,6.3,0.0,0.0,6.3,12.6,0.0 (cmd 0.1),0.0 (cmd 0.0)
0.0365,-0.75,-0.09,0.0,7.37,0.0,0.0,7.4,-0.8,0.0 (cmd -0.1),0.0 (cmd 0.0)
